Node Id,Node Title,Related Nodes,Prereq Nodes,Next Nodes,Content,Question,
1000,Memory Layout for a Process (Background),,,,The memory allocated for a process contains blah blah blah. The stack consists of frames. Frames contain blah blah blah.,,
1115,Control Hijacking,,1000,"1117,1004,1005, 1007",The ability to change the flow of a program to possibly execute arbitrary code.,,
1117,Buffer Overflow,,1115,"1001,1002","A technique where a program writes and ""overflows"" its allocated space of memory into another.",,
1005,Integer Overflow,,1115,,Different form of buffer overflow that usually requires using unsigned integers to attain extremely large numbers to overflow memory.,Are integer overflows possible with unsigned numbers?,
1006,Arc Injection,,1117,,"Sometimes referred to return-to-libc, this is an attack that uses a return address of another program already loaded into memory",How does an attacker set up multiple function calls?,
1004,Double Free,,1115,,A double free presents a vulnerability if a piece of allocated memory ( malloc ) is freed twice from memory,How does having an address appear twice in the free list allow an exploit to occur?,
1007,Format String Vul,,1115,,"This is a vulnerability in which functions that perform formatting, like printf, can be possibly used to print the stack.",Why is the ability to print memory dangerous for a system?,
1001,Stack Smashing,,1117,1008,The process of performing a buffer overflow on the stack part of memory.,What is the central security flaw that allows a buffer overflow to occur?,
1002,Heap Smashing,,1117,,The process of performing a buffer overflow on the heap part of memory.,When would you use heap smashing instead of stack smashing?,
1003,No-Op slide,,,1117,"A no-op slide a big part of memory full of no-ops to which an approximate return address can direct back to, and the slide is run until it reaches the shell code.",Why does an attacker use a no-op slide?,
1008,Stack Canaries,,1001,,"The stack canary is a ""secret"" code of sorts, specifically a random string, inserted into the memory stack. If this code is overwritten then the program will quit as it is likely a buffer overflow is occurring.",What is one way a buffer overflow can still occur with stack canaries in place?,
1009,Address Space Layout Randomization,,1001,,Randomly arranging different essentials of a programs data area to exacerbate target address prediction,How does the host keep track of address space layout randomization?,
1010,W^X,,1001,,A non executable stack allows for any commands not to run from the memory especially if a buffer overflow might take place.,How does a non executable stack protect against buffer overflows?,
1011,JMP Target Verification,,1001,,"A technique to deter buffer overflow by ""double checking"" the target address",Could a jump target verification be implemented as a platform defense?,
1012,Return Address Stack,,1001,,Placing the return addresses outside of the frame into a separate stack so that buffer overflows cannot modify any of these,Is it possible to stack smash with a return address stack in place?,
1013,Program Verification,,,,"A method of proving qualities of a program, using formal methods of mathematics.",,
1014,Syntactic Analysis,,1120,,A method of program analysis in which a program's static code is parsed for dangerous or uncommon syntactic situations.,,
1015,Dataflow Methods,,1120,,"A method of program analysis in which the value of variables are considered, but only approximated.",What is the join of X={pos} and X={neg}?,
1120,Static Analysis,1121,,,Analysis performed without executing the program being analyzed,,
1121,Dynamic Analysis,1120,,"1016,1017",Analysis performed by executing the program being analyzed,,
1122,Soundness and Completeness,"1020, 1120, 1121",,,"Soundness is when program says an error and analysis gives warning, Completeness is when analysis gives error and code contains error.",,
1016,Whitebox Fuzzing,,1121,1018,An approach of test case generation which also uses dynamic symbolic execution to execute a program dynamically and navigate through different paths. i.e. if a program has if ( x==10 ) white boxing will have a better chance of going down this path than blackbox.,What is a key advantage of using white box fuzzing as opposed to black box fuzzing?,
1017,Blackbox Fuzzing,,1121,,Random generation of well-formed inputs to test various programs,Is blackbox fuzzing a good way of testing very specific flow control statements (i.e. if(x==10) )?,
1018,Symbolic Execution,,1016,,Dynamic symbolic execution is using methods to debug a program path by path as opposed to randomly fuzzing.,What is a disadvantage of dynamic symbolic execution and where does it fail?,
1125,Isolation in Computer Software,,,"1126,1127,1128,1129,1130,1131","Isolation is the separation of components from one another, with the intent that a successful security attack in one component will not compromise the security of other components.",,
1126,VM Levels of Implementation,,1125,"1127, 1128, 1129,  1130, 1131","Isolation can be implemented in several different ""Levels"" of the software stack: Hardware, Virtual Machine, Process, Thread, and Aplication.",,
1127,HW Level Isolation,,1125,,The hardware level at which isolation can be implemented involves physically separating two components of a larger system.,,
1128,VM Level Isolation,,1125,,"The Virtual Machine level at which isolation can be implemented involves running multiple Operating Systems on the same machine, effectively simulating the physical layer of isolation in software.",,
1129,Process Level Isolation,,1125,,The process level at which isolation can be implemented involves separating multiple processes from one another within an operating system.,,
1130,Thread Level Isolation,,1125,,The thread level at which isolation can be implemented involves separating multiple process threads from one another.,,
1131,Application Level Isolation,,1125,,The application level at which isolation can be implemented involves separating high-level components from one another in software.,,
1020,Halting Problem as an analogy to Sound and Completeness,,,,"The theorem that proves that given a program and an input, it is impossible to tell whether or not it will run infinitely or stop at some point. Essentially given a program and input, no algorithm can help determine if an executable will eventually stop.",,
1021,Physical Air Gap,,1127,,"A process in which super secure computers are isolated and protected from attacks by an ""air gap"" of space/protection electromagnetically, physically, and electrically.",How does one move data from one machine to another if there is a physical air gap?,
1022,VM Background / Timeline,,1128,"1023,1024,1025",A Virtual Machine is a guest operating system installed within a running host operating system.,What is a good utility used today to manage virtual machines?,*
1023,VM Isolation: Isolation from host system Issues,,1025,,The concept of complete isolation of a host machine and virtual machine running on it. Each should run as separate entities and unable to directly interfere with each others' processes,Why is it a good idea to use a sandbox while opening applications downloaded from the internet?,
1024,VM Isolation: Isolation from neighbor VMs,,1025,,The concept of complete isolation of various virtual machines from each other. They should act as adjacent systems and unable to directly interfere with each others' processes,How does a Virtual Private Server make use of Virtual Machines and how does this facilitate a secure server? ,
1025,VMM - The Virtual Machine Monitor,,1022,1024,"Also known as a hypervisor, it is a program that allows guest operating systems to share a single hardware machine.",How does a hypervisor help protect and secure an Xbox 360 or PS3?,
1026,Breaking Across Boundaries: Covert Channels,,1128,,A Covert Channel is a way to transmit information between VMs that takes advantage of the fact that VMs are only emulated machines.,Why is a covert channel dangerous?,
1027,Defense Against Compromised VMs: VMM Introspection,,1025,,A technique which allows the hypervisor to check and see if the machine has been compromised and turned into a guest OS,What can the hypervisor do if it realizes that a VM has been compromised?,
1028,Subverting the VM Isolation,,1027,,A red pill allows for an attacker to determine if program is running within a virtual machine. A blue pill allows for an attacker to create a hardware hypervisor and switch the main OS to a guest OS and allow for manipulation by malware,How is a red pill useful to an attacker? How is a red pill useful for a victim of a blue pill attack?,
1029,Software Fault Isolation,,1130,,The practice of running processes in separate address spaces only allowing small jumps in memory.,,
1030,Example: Javascript in Browser,,1131,,Browser separates the javascript and browsing functionality to incur isolation of the two modules.,What is the name of a browser that implements javascript isolation?,
1031,Compartmentalization & Modularity in Software Design,,1128,,"The practice of dividing an application into high-level components, each of which have specific security requirements.",,
1032,Principle of Least Privilege,,1128,"1134, 1036",The practice of granting a system module only the minimal privileges needed for its intended purposes.,Give a real life example of least privilege using keys,
1134,Access Control,,1032,"1033,1034,1035",Access Control is the practice of restricting users specific abilities in the system,,
1136,Reference Monitors,,1032,1137,A design policy that keeps control and enforces access control.,,
1137,System Call Interposition,,1136,"1039,1040,1041,1042",The practice of filtering system calls of processes based on access policy.,,
1033,ACL,,1134,,"Access Control Lists, a system that implements Access Control, is a list of permissions attached to an object in a file system.",Compare ACL and Capabilities based on the notion of keys and fingerprints,
1034,Capabilities,,1134,,"Capabilities, a system that implements Access Control, are tokens of permission that can be granted to users and copied among users.",Compare ACL and Capabilities based on the notion of keys and fingerprints,
1035,Role-Based Access Control,,1134,,"Role-Based Access Control is a system that implements Access Control in which user roles are created with specific access, and users are assigned to roles.",,
1036,Unix as a secure system,1037,1035,,Unix uses Access Control Lists to grant users specific control to files.,,
1037,Windows as a secure system,1036,1035,,Windows uses Access Control Lists augmented with impersonation tokens (a restricted capability system) and security descriptors.,,
1038,Browser (Chrome) as a secure system,,1035,,"Chromium uses mandatory access control, and breaks operation into communicating but isolated components.",,
1039,Janis,"1040, 1041",1137,,"Janis implements a System Call Interposition design that uses the Linux ptrace utility to create ""monitor processes"" that detect unauthorized system calls.",,
1040,systrace,"1039,1041",1137,,"systrace allows for System Call Interposition by passing monitored system calls to a monitor process, which decides to permit or deny the call based on policy.",,
1041,Ostia,"1039,1040",1137,,"A delegation design that implements System Call Interposition, Ostia prevents any monitored application from performing a system call and instead requires that all system calls be directed through an agent that decides if the call is allowed.",,
1042,Access Control Policies Specification,,1137,,"There are several additional issues to consider when specifying a reference monitor policy (For example, what should the system do in the event a process tries to operate outside of policy)",What policy should a peer to peer filesharing application have?,
1043,Introduction,,,,,,
1044,The HTTP Protocol,,1043,,HTTP is the foundation of data communication for the World Wide Web.,,
1045,Rendering,,1044,,The browser renders the content and responds to events. As the content is rendered the DOM is built,,
1046,Frame Isolation,,1045,,The browser has keeps each site in a sandbox so that one website cannot interact with the contents of another page. The browser also provides isolation between frames.,,
1047,Communication,,1046,,,,
